timestamp,dteday,season,yr,hr,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_category
2011-01-01 00:00:00,2011-01-01,1,0,0,0,1,0.24,0.2879,0.81,0.0,3,13,16,Sedang
2011-01-01 01:00:00,2011-01-01,1,0,1,0,1,0.22,0.2727,0.8,0.0,8,32,40,Sedang
2011-01-01 02:00:00,2011-01-01,1,0,2,0,1,0.22,0.2727,0.8,0.0,5,27,32,Sedang
2011-01-01 03:00:00,2011-01-01,1,0,3,0,1,0.24,0.2879,0.75,0.0,3,10,13,Sedang
2011-01-01 04:00:00,2011-01-01,1,0,4,0,1,0.24,0.2879,0.75,0.0,0,1,1,Sedang
2011-01-01 05:00:00,2011-01-01,1,0,5,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Sedang
2011-01-01 06:00:00,2011-01-01,1,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Sedang
2011-01-01 07:00:00,2011-01-01,1,0,7,0,1,0.2,0.2576,0.86,0.0,1,2,3,Sedang
2011-01-01 08:00:00,2011-01-01,1,0,8,0,1,0.24,0.2879,0.75,0.0,1,7,8,Sedang
2011-01-01 09:00:00,2011-01-01,1,0,9,0,1,0.32,0.3485,0.76,0.0,8,6,14,Sedang
2011-01-01 10:00:00,2011-01-01,1,0,10,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Sedang
2011-01-01 11:00:00,2011-01-01,1,0,11,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Sedang
2011-01-01 12:00:00,2011-01-01,1,0,12,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Sedang
2011-01-01 13:00:00,2011-01-01,1,0,13,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Sedang
2011-01-01 14:00:00,2011-01-01,1,0,14,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Sedang
2011-01-01 15:00:00,2011-01-01,1,0,15,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Sedang
2011-01-01 16:00:00,2011-01-01,1,0,16,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Sedang
2011-01-01 17:00:00,2011-01-01,1,0,17,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Sedang
2011-01-01 18:00:00,2011-01-01,1,0,18,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Sedang
2011-01-01 19:00:00,2011-01-01,1,0,19,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Sedang
2011-01-01 20:00:00,2011-01-01,1,0,20,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Sedang
2011-01-01 21:00:00,2011-01-01,1,0,21,0,2,0.4,0.4091,0.87,0.194,3,31,34,Sedang
2011-01-01 22:00:00,2011-01-01,1,0,22,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Sedang
2011-01-01 23:00:00,2011-01-01,1,0,23,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Sedang
2011-01-02 00:00:00,2011-01-02,1,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Sedang
2011-01-02 01:00:00,2011-01-02,1,0,1,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Sedang
2011-01-02 02:00:00,2011-01-02,1,0,2,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Sedang
2011-01-02 03:00:00,2011-01-02,1,0,3,0,2,0.46,0.4545,0.94,0.194,2,4,6,Sedang
2011-01-02 04:00:00,2011-01-02,1,0,4,0,2,0.46,0.4545,0.94,0.194,2,1,3,Sedang
2011-01-02 05:00:00,2011-01-02,1,0,5,0,2,0.3634782608695652,0.35373913043478256,0.696086956521739,0.24853913043478262,131,670,801,
2011-01-02 06:00:00,2011-01-02,1,0,6,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Sedang
2011-01-02 07:00:00,2011-01-02,1,0,7,0,2,0.4,0.4091,0.76,0.194,0,1,1,Sedang
2011-01-02 08:00:00,2011-01-02,1,0,8,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Sedang
2011-01-02 09:00:00,2011-01-02,1,0,9,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Sedang
2011-01-02 10:00:00,2011-01-02,1,0,10,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Sedang
2011-01-02 11:00:00,2011-01-02,1,0,11,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Sedang
2011-01-02 12:00:00,2011-01-02,1,0,12,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Sedang
2011-01-02 13:00:00,2011-01-02,1,0,13,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Sedang
2011-01-02 14:00:00,2011-01-02,1,0,14,0,3,0.36,0.3485,0.76,0.194,4,55,59,Sedang
2011-01-02 15:00:00,2011-01-02,1,0,15,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Sedang
2011-01-02 16:00:00,2011-01-02,1,0,16,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Sedang
2011-01-02 17:00:00,2011-01-02,1,0,17,0,1,0.34,0.3333,0.57,0.194,7,58,65,Sedang
2011-01-02 18:00:00,2011-01-02,1,0,18,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Sedang
2011-01-02 19:00:00,2011-01-02,1,0,19,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Sedang
2011-01-02 20:00:00,2011-01-02,1,0,20,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Sedang
2011-01-02 21:00:00,2011-01-02,1,0,21,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Dingin
2011-01-02 22:00:00,2011-01-02,1,0,22,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Dingin
2011-01-02 23:00:00,2011-01-02,1,0,23,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Dingin
2011-01-03 00:00:00,2011-01-03,1,0,0,1,1,0.22,0.197,0.44,0.3582,0,5,5,Dingin
2011-01-03 01:00:00,2011-01-03,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Dingin
